assessment_id,assessment_date,district_code,district_name,admin_region,site_type,households_assessed,people_assessed,priority_need,water_access_level,water_access_score,food_insecurity_level,food_insecurity_score,shelter_damage_level,displacement_status,age_group,gender,needs_score,response_gap_percent,severe_cases,latitude,longitude
A001,2026-01-08,D01,North District,Coastal,Host community,118,642,Water,Low,28,High,82,Moderate,Displaced,0-17,Female,78,46,18,18.42,-72.32
A002,2026-01-15,D01,North District,Coastal,Collective center,96,501,Food,Medium,54,High,76,Minor,Displaced,18-59,Male,71,38,12,18.43,-72.31
A003,2026-02-06,D01,North District,Coastal,Host community,132,714,Water,Low,31,High,84,Moderate,Displaced,18-59,Female,81,49,21,18.44,-72.3
A004,2026-03-04,D01,North District,Coastal,Collective center,109,588,Health,Medium,58,Medium,59,Moderate,Returnee,60+,Female,66,29,9,18.41,-72.33
A005,2026-01-10,D02,Central District,Metro,Collective center,144,792,Shelter,Medium,61,Medium,57,Severe,Displaced,18-59,Female,74,41,17,18.51,-72.21
A006,2026-01-24,D02,Central District,Metro,Host community,88,475,Water,Low,34,Medium,63,Moderate,Displaced,60+,Female,69,35,11,18.52,-72.2
A007,2026-02-12,D02,Central District,Metro,Collective center,157,864,Shelter,Medium,59,High,72,Severe,Displaced,0-17,Male,79,44,19,18.5,-72.22
A008,2026-03-07,D02,Central District,Metro,Health facility,101,556,Health,High,77,Medium,52,Minor,Returnee,18-59,Female,58,22,7,18.53,-72.19
A009,2026-01-12,D03,South District,Highlands,Host community,102,534,Health,High,82,Low,38,Minor,Host,0-17,Male,51,18,6,18.31,-72.41
A010,2026-01-30,D03,South District,Highlands,Host community,76,410,Food,Medium,64,High,79,Moderate,Displaced,18-59,Female,73,33,14,18.3,-72.42
A011,2026-02-20,D03,South District,Highlands,Collective center,95,498,Food,Medium,66,High,81,Moderate,Displaced,18-59,Female,75,36,15,18.29,-72.4
A012,2026-03-12,D03,South District,Highlands,Host community,83,432,Protection,High,79,Medium,49,Minor,Returnee,60+,Male,55,21,5,18.32,-72.43
A013,2026-01-16,D04,East District,River corridor,Informal site,64,350,Shelter,,45,Medium,61,Severe,Displaced,18-59,Male,70,40,13,18.47,-72.12
A014,2026-01-28,D04,East District,River corridor,Informal site,58,314,Water,Low,29,High,86,Severe,Displaced,,Female,83,52,22,18.48,-72.13
A015,2026-02-18,D04,East District,River corridor,Informal site,72,392,Water,Low,26,High,88,Severe,Displaced,0-17,Female,86,55,24,18.49,-72.14
A016,2026-03-10,D04,East District,River corridor,Host community,69,371,Shelter,Medium,51,High,74,Moderate,Displaced,18-59,Male,72,39,16,18.46,-72.11
A017,2026-01-18,D05,West District,Coastal,Host community,111,602,Food,Medium,60,Medium,55,Minor,Host,18-59,Female,57,24,8,18.38,-72.55
A018,2026-02-09,D05,West District,Coastal,Collective center,126,690,Water,Low,33,High,78,Moderate,Displaced,0-17,Female,77,43,18,18.37,-72.54
A019,2026-02-27,D05,West District,Coastal,Collective center,119,641,Food,Medium,57,High,80,Moderate,Displaced,18-59,Male,74,,15,18.36,-72.56
A020,2026-03-15,D05,West District,Coastal,Host community,92,496,Health,High,81,Medium,47,Minor,Returnee,60+,Female,53,17,4,18.39,-72.53
A021,2026-01-20,D06,Lakeside District,Lake basin,Host community,87,465,Water,Medium,62,Low,35,Minor,Host,18-59,Male,48,16,5,18.62,-72.37
A022,2026-02-14,D06,Lakeside District,Lake basin,Collective center,104,558,Food,Medium,55,Medium,66,Moderate,Displaced,0-17,Female,67,31,12,18.61,-72.36
A023,2026-03-02,D06,Lakeside District,Lake basin,Host community,98,525,Livelihoods,High,74,Medium,58,Minor,Returnee,18-59,Female,59,23,7,18.63,-72.38
A024,2026-03-17,D06,Lakeside District,Lake basin,Collective center,112,604,Food,Medium,58,High,73,Moderate,Displaced,18-59,Male,70,34,14,18.6,-72.35
A025,2026-01-22,D07,Mountain District,Highlands,Remote settlement,73,396,Health,Low,39,High,85,Moderate,Displaced,60+,Female,82,58,20,18.18,-72.62
A026,2026-02-16,D07,Mountain District,Highlands,Remote settlement,81,442,Water,Low,24,High,90,Severe,Displaced,0-17,Female,89,64,27,18.17,-72.61
A027,2026-03-08,D07,Mountain District,Highlands,Remote settlement,77,418,Food,Low,36,High,87,Severe,Displaced,18-59,Male,85,61,23,18.19,-72.63
A028,2026-03-20,D03,South District,Highlands,Health facility,59,309,Health,High,84,Low,32,Minor,Host,60+,Female,46,12,3,18.33,-72.44
